"IDE_PEDIDO","IDE_PEDIDO_EST","DES_PEDIDO","IDE_PROVEEDOR","DES_PROVEEDOR"
11589,"SO MIG101190","ORDER SALES MIG101190","FedEx","CARRIER FedEx"
11590,"SO MIG101191","ORDER SALES MIG101191","FedEx","CARRIER FedEx"
11591,"SO MIG101192","ORDER SALES MIG101192","FedEx","CARRIER FedEx"
11592,"SO MIG101193","ORDER SALES MIG101193","FedEx","CARRIER FedEx"
11593,"SO MIG101194","ORDER SALES MIG101194","FedEx","CARRIER FedEx"
11594,"SO MIG101195","ORDER SALES MIG101195","FedEx","CARRIER FedEx"
11595,"SO MIG101196","ORDER SALES MIG101196","FedEx","CARRIER FedEx"
11596,"SO MIG101197","ORDER SALES MIG101197","FedEx","CARRIER FedEx"
11597,"SO MIG101198","ORDER SALES MIG101198","FedEx","CARRIER FedEx"
11598,"SO MIG101199","ORDER SALES MIG101199","FedEx","CARRIER FedEx"
11599,"SO MIG101200","ORDER SALES MIG101200","FedEx","CARRIER FedEx"
11600,"SO MIG101201","ORDER SALES MIG101201","FedEx","CARRIER FedEx"
11601,"SO MIG101202","ORDER SALES MIG101202","FedEx","CARRIER FedEx"
11602,"SO MIG101203","ORDER SALES MIG101203","FedEx","CARRIER FedEx"
11603,"SO MIG101204","ORDER SALES MIG101204","FedEx","CARRIER FedEx"
11604,"SO MIG101205","ORDER SALES MIG101205","FedEx","CARRIER FedEx"
11605,"SO MIG101206","ORDER SALES MIG101206","FedEx","CARRIER FedEx"
11606,"SO MIG101207","ORDER SALES MIG101207","FedEx","CARRIER FedEx"
11607,"SO MIG101208","ORDER SALES MIG101208","FedEx","CARRIER FedEx"
11608,"SO MIG101209","ORDER SALES MIG101209","FedEx","CARRIER FedEx"
11609,"SO MIG101210","ORDER SALES MIG101210","FedEx","CARRIER FedEx"
11610,"SO MIG101211","ORDER SALES MIG101211","FedEx","CARRIER FedEx"
11611,"SO MIG101212","ORDER SALES MIG101212","FedEx","CARRIER FedEx"
11612,"SO MIG101213","ORDER SALES MIG101213","FedEx","CARRIER FedEx"
11613,"SO MIG101214","ORDER SALES MIG101214","FedEx","CARRIER FedEx"
11614,"SO MIG101215","ORDER SALES MIG101215","FedEx","CARRIER FedEx"
11615,"SO MIG101216","ORDER SALES MIG101216","FedEx","CARRIER FedEx"
11616,"SO MIG101217","ORDER SALES MIG101217","FedEx","CARRIER FedEx"
11617,"SO MIG101218","ORDER SALES MIG101218","FedEx","CARRIER FedEx"
11618,"SO MIG101219","ORDER SALES MIG101219","FedEx","CARRIER FedEx"
11619,"SO MIG101220","ORDER SALES MIG101220","FedEx","CARRIER FedEx"
11620,"SO MIG101221","ORDER SALES MIG101221","FedEx","CARRIER FedEx"
11621,"SO MIG101222","ORDER SALES MIG101222","FedEx","CARRIER FedEx"
11622,"SO MIG101223","ORDER SALES MIG101223","FedEx","CARRIER FedEx"
11623,"SO MIG101224","ORDER SALES MIG101224","FedEx","CARRIER FedEx"
11624,"SO MIG101225","ORDER SALES MIG101225","FedEx","CARRIER FedEx"
11625,"SO MIG101226","ORDER SALES MIG101226","FedEx","CARRIER FedEx"
11626,"SO MIG101227","ORDER SALES MIG101227","FedEx","CARRIER FedEx"
11627,"SO MIG101228","ORDER SALES MIG101228","FedEx","CARRIER FedEx"
11628,"SO MIG101229","ORDER SALES MIG101229","FedEx","CARRIER FedEx"
11629,"SO MIG101230","ORDER SALES MIG101230","FedEx","CARRIER FedEx"
11630,"SO MIG101231","ORDER SALES MIG101231","FedEx","CARRIER FedEx"
11631,"SO MIG101232","ORDER SALES MIG101232","FedEx","CARRIER FedEx"
11632,"SO MIG101233","ORDER SALES MIG101233","FedEx","CARRIER FedEx"
11633,"SO MIG101234","ORDER SALES MIG101234","FedEx","CARRIER FedEx"
11634,"SO MIG101235","ORDER SALES MIG101235","FedEx","CARRIER FedEx"
11635,"SO MIG101236","ORDER SALES MIG101236","FedEx","CARRIER FedEx"
11636,"SO MIG101237","ORDER SALES MIG101237","FedEx","CARRIER FedEx"
11637,"SO MIG101238","ORDER SALES MIG101238","FedEx","CARRIER FedEx"
11638,"SO MIG101239","ORDER SALES MIG101239","FedEx","CARRIER FedEx"
11639,"SO MIG101240","ORDER SALES MIG101240","FedEx","CARRIER FedEx"
11640,"SO MIG101241","ORDER SALES MIG101241","FedEx","CARRIER FedEx"
11641,"SO MIG101242","ORDER SALES MIG101242","FedEx","CARRIER FedEx"
11642,"SO MIG101243","ORDER SALES MIG101243","FedEx","CARRIER FedEx"
11643,"SO MIG101244","ORDER SALES MIG101244","FedEx","CARRIER FedEx"
11644,"SO MIG101245","ORDER SALES MIG101245","FedEx","CARRIER FedEx"
11645,"SO MIG101246","ORDER SALES MIG101246","FedEx","CARRIER FedEx"
11646,"SO MIG101247","ORDER SALES MIG101247","FedEx","CARRIER FedEx"
11647,"SO MIG101248","ORDER SALES MIG101248","FedEx","CARRIER FedEx"
11648,"SO MIG101249","ORDER SALES MIG101249","FedEx","CARRIER FedEx"
11649,"SO MIG101250","ORDER SALES MIG101250","FedEx","CARRIER FedEx"
11650,"SO MIG101251","ORDER SALES MIG101251","FedEx","CARRIER FedEx"
11651,"SO MIG101252","ORDER SALES MIG101252","FedEx","CARRIER FedEx"
11652,"SO MIG101253","ORDER SALES MIG101253","FedEx","CARRIER FedEx"
11653,"SO MIG101254","ORDER SALES MIG101254","FedEx","CARRIER FedEx"
11654,"SO MIG101255","ORDER SALES MIG101255","FedEx","CARRIER FedEx"
11655,"SO MIG101256","ORDER SALES MIG101256","FedEx","CARRIER FedEx"
11656,"SO MIG101257","ORDER SALES MIG101257","FedEx","CARRIER FedEx"
11657,"SO MIG101258","ORDER SALES MIG101258","FedEx","CARRIER FedEx"
11658,"SO MIG101259","ORDER SALES MIG101259","FedEx","CARRIER FedEx"
11659,"SO MIG101260","ORDER SALES MIG101260","FedEx","CARRIER FedEx"
11660,"SO MIG101261","ORDER SALES MIG101261","FedEx","CARRIER FedEx"
11661,"SO MIG101262","ORDER SALES MIG101262","FedEx","CARRIER FedEx"
11662,"SO MIG101263","ORDER SALES MIG101263","FedEx","CARRIER FedEx"
11663,"SO MIG101264","ORDER SALES MIG101264","FedEx","CARRIER FedEx"
11664,"SO MIG101265","ORDER SALES MIG101265","FedEx","CARRIER FedEx"
11665,"SO MIG101266","ORDER SALES MIG101266","FedEx","CARRIER FedEx"
11666,"SO MIG101267","ORDER SALES MIG101267","FedEx","CARRIER FedEx"
11667,"SO MIG101268","ORDER SALES MIG101268","FedEx","CARRIER FedEx"
11668,"SO MIG101269","ORDER SALES MIG101269","FedEx","CARRIER FedEx"
11669,"SO MIG101270","ORDER SALES MIG101270","FedEx","CARRIER FedEx"
11670,"SO MIG101271","ORDER SALES MIG101271","FedEx","CARRIER FedEx"
11671,"SO MIG101272","ORDER SALES MIG101272","FedEx","CARRIER FedEx"
11672,"SO MIG101273","ORDER SALES MIG101273","FedEx","CARRIER FedEx"
11673,"SO MIG101274","ORDER SALES MIG101274","FedEx","CARRIER FedEx"
11674,"SO MIG101275","ORDER SALES MIG101275","FedEx","CARRIER FedEx"
11675,"SO MIG101276","ORDER SALES MIG101276","FedEx","CARRIER FedEx"
11676,"SO MIG101277","ORDER SALES MIG101277","FedEx","CARRIER FedEx"
11677,"SO MIG101278","ORDER SALES MIG101278","FedEx","CARRIER FedEx"
11678,"SO MIG101279","ORDER SALES MIG101279","FedEx","CARRIER FedEx"
11679,"SO MIG101280","ORDER SALES MIG101280","FedEx","CARRIER FedEx"
11680,"SO MIG101281","ORDER SALES MIG101281","FedEx","CARRIER FedEx"
11681,"SO MIG101282","ORDER SALES MIG101282","FedEx","CARRIER FedEx"
11682,"SO MIG101283","ORDER SALES MIG101283","FedEx","CARRIER FedEx"
11683,"SO MIG101284","ORDER SALES MIG101284","FedEx","CARRIER FedEx"
11684,"SO MIG101285","ORDER SALES MIG101285","FedEx","CARRIER FedEx"
11685,"SO MIG101286","ORDER SALES MIG101286","FedEx","CARRIER FedEx"
11686,"SO MIG101287","ORDER SALES MIG101287","FedEx","CARRIER FedEx"
11687,"SO MIG101288","ORDER SALES MIG101288","FedEx","CARRIER FedEx"
11688,"SO MIG101289","ORDER SALES MIG101289","FedEx","CARRIER FedEx"
11689,"SO MIG101290","ORDER SALES MIG101290","FedEx","CARRIER FedEx"
11690,"SO MIG101291","ORDER SALES MIG101291","FedEx","CARRIER FedEx"
11691,"SO MIG101292","ORDER SALES MIG101292","FedEx","CARRIER FedEx"
11692,"SO MIG101293","ORDER SALES MIG101293","FedEx","CARRIER FedEx"
11693,"SO MIG101294","ORDER SALES MIG101294","FedEx","CARRIER FedEx"
11694,"SO MIG101295","ORDER SALES MIG101295","FedEx","CARRIER FedEx"
11695,"SO MIG101296","ORDER SALES MIG101296","FedEx","CARRIER FedEx"
11696,"SO MIG101297","ORDER SALES MIG101297","FedEx","CARRIER FedEx"
11697,"SO MIG101298","ORDER SALES MIG101298","FedEx","CARRIER FedEx"
11698,"SO MIG101299","ORDER SALES MIG101299","FedEx","CARRIER FedEx"
11699,"SO MIG101300","ORDER SALES MIG101300","FedEx","CARRIER FedEx"
11700,"SO MIG101301","ORDER SALES MIG101301","FedEx","CARRIER FedEx"
11701,"SO MIG101302","ORDER SALES MIG101302","FedEx","CARRIER FedEx"
11702,"SO MIG101303","ORDER SALES MIG101303","FedEx","CARRIER FedEx"
11703,"SO MIG101304","ORDER SALES MIG101304","FedEx","CARRIER FedEx"
11704,"SO MIG101305","ORDER SALES MIG101305","FedEx","CARRIER FedEx"
11705,"SO MIG101306","ORDER SALES MIG101306","FedEx","CARRIER FedEx"
11706,"SO MIG101307","ORDER SALES MIG101307","FedEx","CARRIER FedEx"
11707,"SO MIG101308","ORDER SALES MIG101308","FedEx","CARRIER FedEx"
11708,"SO MIG101309","ORDER SALES MIG101309","FedEx","CARRIER FedEx"
11709,"SO MIG101310","ORDER SALES MIG101310","FedEx","CARRIER FedEx"
11710,"SO MIG101311","ORDER SALES MIG101311","FedEx","CARRIER FedEx"
11711,"SO MIG101312","ORDER SALES MIG101312","FedEx","CARRIER FedEx"
11712,"SO MIG101313","ORDER SALES MIG101313","FedEx","CARRIER FedEx"
11713,"SO MIG101314","ORDER SALES MIG101314","FedEx","CARRIER FedEx"
11714,"SO MIG101315","ORDER SALES MIG101315","FedEx","CARRIER FedEx"
11715,"SO MIG101316","ORDER SALES MIG101316","FedEx","CARRIER FedEx"
11716,"SO MIG101317","ORDER SALES MIG101317","FedEx","CARRIER FedEx"
11717,"SO MIG101318","ORDER SALES MIG101318","FedEx","CARRIER FedEx"
11718,"SO MIG101319","ORDER SALES MIG101319","FedEx","CARRIER FedEx"
11719,"SO MIG101320","ORDER SALES MIG101320","FedEx","CARRIER FedEx"
11720,"SO MIG101321","ORDER SALES MIG101321","FedEx","CARRIER FedEx"
11721,"SO MIG101322","ORDER SALES MIG101322","FedEx","CARRIER FedEx"
11722,"SO MIG101323","ORDER SALES MIG101323","FedEx","CARRIER FedEx"
11723,"SO MIG101324","ORDER SALES MIG101324","FedEx","CARRIER FedEx"
11724,"SO MIG101325","ORDER SALES MIG101325","FedEx","CARRIER FedEx"
11725,"SO MIG101326","ORDER SALES MIG101326","FedEx","CARRIER FedEx"
11726,"SO MIG101327","ORDER SALES MIG101327","FedEx","CARRIER FedEx"
11727,"SO MIG101328","ORDER SALES MIG101328","FedEx","CARRIER FedEx"
11728,"SO MIG101329","ORDER SALES MIG101329","FedEx","CARRIER FedEx"
11729,"SO MIG101330","ORDER SALES MIG101330","FedEx","CARRIER FedEx"
11730,"SO MIG101331","ORDER SALES MIG101331","FedEx","CARRIER FedEx"
11731,"SO MIG101332","ORDER SALES MIG101332","FedEx","CARRIER FedEx"
11732,"SO MIG101333","ORDER SALES MIG101333","FedEx","CARRIER FedEx"
11733,"SO MIG101334","ORDER SALES MIG101334","FedEx","CARRIER FedEx"
11734,"SO MIG101335","ORDER SALES MIG101335","FedEx","CARRIER FedEx"
11735,"SO MIG101336","ORDER SALES MIG101336","FedEx","CARRIER FedEx"
11736,"SO MIG101337","ORDER SALES MIG101337","FedEx","CARRIER FedEx"
11737,"SO MIG101338","ORDER SALES MIG101338","FedEx","CARRIER FedEx"
11738,"SO MIG101339","ORDER SALES MIG101339","FedEx","CARRIER FedEx"
11739,"SO MIG101340","ORDER SALES MIG101340","FedEx","CARRIER FedEx"
11740,"SO MIG101341","ORDER SALES MIG101341","FedEx","CARRIER FedEx"
11741,"SO MIG101342","ORDER SALES MIG101342","FedEx","CARRIER FedEx"
11742,"SO MIG101343","ORDER SALES MIG101343","FedEx","CARRIER FedEx"
11743,"SO MIG101344","ORDER SALES MIG101344","FedEx","CARRIER FedEx"
11744,"SO MIG101345","ORDER SALES MIG101345","FedEx","CARRIER FedEx"
11745,"SO MIG101346","ORDER SALES MIG101346","FedEx","CARRIER FedEx"
11746,"SO MIG101347","ORDER SALES MIG101347","FedEx","CARRIER FedEx"
11747,"SO MIG101348","ORDER SALES MIG101348","FedEx","CARRIER FedEx"
11748,"SO MIG101349","ORDER SALES MIG101349","FedEx","CARRIER FedEx"
11749,"SO MIG101350","ORDER SALES MIG101350","FedEx","CARRIER FedEx"
11750,"SO MIG101351","ORDER SALES MIG101351","FedEx","CARRIER FedEx"
11751,"SO MIG101352","ORDER SALES MIG101352","FedEx","CARRIER FedEx"
11752,"SO MIG101353","ORDER SALES MIG101353","FedEx","CARRIER FedEx"
11753,"SO MIG101354","ORDER SALES MIG101354","FedEx","CARRIER FedEx"
11754,"SO MIG101355","ORDER SALES MIG101355","FedEx","CARRIER FedEx"
11755,"SO MIG101356","ORDER SALES MIG101356","FedEx","CARRIER FedEx"
11756,"SO MIG101357","ORDER SALES MIG101357","FedEx","CARRIER FedEx"
11757,"SO MIG101358","ORDER SALES MIG101358","FedEx","CARRIER FedEx"
11758,"SO MIG101359","ORDER SALES MIG101359","FedEx","CARRIER FedEx"
11759,"SO MIG101360","ORDER SALES MIG101360","FedEx","CARRIER FedEx"
11760,"SO MIG101361","ORDER SALES MIG101361","FedEx","CARRIER FedEx"
11761,"SO MIG101362","ORDER SALES MIG101362","FedEx","CARRIER FedEx"
11762,"SO MIG101363","ORDER SALES MIG101363","FedEx","CARRIER FedEx"
11763,"SO MIG101364","ORDER SALES MIG101364","FedEx","CARRIER FedEx"
11764,"SO MIG101365","ORDER SALES MIG101365","FedEx","CARRIER FedEx"
11765,"SO MIG101366","ORDER SALES MIG101366","FedEx","CARRIER FedEx"
11766,"SO MIG101367","ORDER SALES MIG101367","FedEx","CARRIER FedEx"
11767,"SO MIG101368","ORDER SALES MIG101368","FedEx","CARRIER FedEx"
11768,"SO MIG101369","ORDER SALES MIG101369","FedEx","CARRIER FedEx"
11769,"SO MIG101370","ORDER SALES MIG101370","FedEx","CARRIER FedEx"
11770,"SO MIG101371","ORDER SALES MIG101371","FedEx","CARRIER FedEx"
11771,"SO MIG101372","ORDER SALES MIG101372","FedEx","CARRIER FedEx"
11772,"SO MIG101373","ORDER SALES MIG101373","FedEx","CARRIER FedEx"
11773,"SO MIG101374","ORDER SALES MIG101374","FedEx","CARRIER FedEx"
11774,"SO MIG101375","ORDER SALES MIG101375","FedEx","CARRIER FedEx"
11775,"SO MIG101376","ORDER SALES MIG101376","FedEx","CARRIER FedEx"
11776,"SO MIG101377","ORDER SALES MIG101377","FedEx","CARRIER FedEx"
11777,"SO MIG101378","ORDER SALES MIG101378","FedEx","CARRIER FedEx"
11778,"SO MIG101379","ORDER SALES MIG101379","FedEx","CARRIER FedEx"
11779,"SO MIG101380","ORDER SALES MIG101380","FedEx","CARRIER FedEx"
11780,"SO MIG101381","ORDER SALES MIG101381","FedEx","CARRIER FedEx"
11781,"SO MIG101382","ORDER SALES MIG101382","FedEx","CARRIER FedEx"
11782,"SO MIG101383","ORDER SALES MIG101383","FedEx","CARRIER FedEx"
11783,"SO MIG101384","ORDER SALES MIG101384","FedEx","CARRIER FedEx"
11784,"SO MIG101385","ORDER SALES MIG101385","FedEx","CARRIER FedEx"
11785,"SO MIG101386","ORDER SALES MIG101386","FedEx","CARRIER FedEx"
11786,"SO MIG101387","ORDER SALES MIG101387","FedEx","CARRIER FedEx"
11787,"SO MIG101388","ORDER SALES MIG101388","FedEx","CARRIER FedEx"
11788,"SO MIG101389","ORDER SALES MIG101389","FedEx","CARRIER FedEx"
11789,"SO MIG101390","ORDER SALES MIG101390","FedEx","CARRIER FedEx"
11790,"SO MIG101391","ORDER SALES MIG101391","FedEx","CARRIER FedEx"
11791,"SO MIG101392","ORDER SALES MIG101392","FedEx","CARRIER FedEx"
11792,"SO MIG101393","ORDER SALES MIG101393","FedEx","CARRIER FedEx"
11793,"SO MIG101394","ORDER SALES MIG101394","FedEx","CARRIER FedEx"
11794,"SO MIG101395","ORDER SALES MIG101395","FedEx","CARRIER FedEx"
11795,"SO MIG101396","ORDER SALES MIG101396","FedEx","CARRIER FedEx"
11796,"SO MIG101397","ORDER SALES MIG101397","FedEx","CARRIER FedEx"
11797,"SO MIG101398","ORDER SALES MIG101398","FedEx","CARRIER FedEx"
11798,"SO MIG101399","ORDER SALES MIG101399","FedEx","CARRIER FedEx"
11799,"SO MIG101400","ORDER SALES MIG101400","FedEx","CARRIER FedEx"
11800,"SO MIG101401","ORDER SALES MIG101401","FedEx","CARRIER FedEx"
11801,"SO MIG101402","ORDER SALES MIG101402","FedEx","CARRIER FedEx"
11802,"SO MIG101403","ORDER SALES MIG101403","FedEx","CARRIER FedEx"
11803,"SO MIG101404","ORDER SALES MIG101404","FedEx","CARRIER FedEx"
11804,"SO MIG101405","ORDER SALES MIG101405","FedEx","CARRIER FedEx"
11805,"SO MIG101406","ORDER SALES MIG101406","FedEx","CARRIER FedEx"
11806,"SO MIG101407","ORDER SALES MIG101407","FedEx","CARRIER FedEx"
11807,"SO MIG101408","ORDER SALES MIG101408","FedEx","CARRIER FedEx"
11808,"SO MIG101409","ORDER SALES MIG101409","FedEx","CARRIER FedEx"
11809,"SO MIG101410","ORDER SALES MIG101410","FedEx","CARRIER FedEx"
11810,"SO MIG101411","ORDER SALES MIG101411","FedEx","CARRIER FedEx"
11811,"SO MIG101412","ORDER SALES MIG101412","FedEx","CARRIER FedEx"
11812,"SO MIG101413","ORDER SALES MIG101413","FedEx","CARRIER FedEx"
11813,"SO MIG101414","ORDER SALES MIG101414","FedEx","CARRIER FedEx"
11814,"SO MIG101415","ORDER SALES MIG101415","FedEx","CARRIER FedEx"
11815,"SO MIG101416","ORDER SALES MIG101416","FedEx","CARRIER FedEx"
11816,"SO MIG101417","ORDER SALES MIG101417","FedEx","CARRIER FedEx"
11817,"SO MIG101418","ORDER SALES MIG101418","FedEx","CARRIER FedEx"
11818,"SO MIG101419","ORDER SALES MIG101419","FedEx","CARRIER FedEx"
11819,"SO MIG101420","ORDER SALES MIG101420","FedEx","CARRIER FedEx"
11820,"SO MIG101421","ORDER SALES MIG101421","FedEx","CARRIER FedEx"
11821,"SO MIG101422","ORDER SALES MIG101422","FedEx","CARRIER FedEx"
11822,"SO MIG101423","ORDER SALES MIG101423","FedEx","CARRIER FedEx"
11823,"SO MIG101424","ORDER SALES MIG101424","FedEx","CARRIER FedEx"
11824,"SO MIG101425","ORDER SALES MIG101425","FedEx","CARRIER FedEx"
11825,"SO MIG101426","ORDER SALES MIG101426","FedEx","CARRIER FedEx"
11826,"SO MIG101427","ORDER SALES MIG101427","FedEx","CARRIER FedEx"
11827,"SO MIG101428","ORDER SALES MIG101428","FedEx","CARRIER FedEx"
11828,"SO MIG101429","ORDER SALES MIG101429","FedEx","CARRIER FedEx"
11829,"SO MIG101430","ORDER SALES MIG101430","FedEx","CARRIER FedEx"
11830,"SO MIG101431","ORDER SALES MIG101431","FedEx","CARRIER FedEx"
11831,"SO MIG101432","ORDER SALES MIG101432","FedEx","CARRIER FedEx"
11832,"SO MIG101433","ORDER SALES MIG101433","FedEx","CARRIER FedEx"
11833,"SO MIG101434","ORDER SALES MIG101434","FedEx","CARRIER FedEx"
11834,"SO MIG101435","ORDER SALES MIG101435","FedEx","CARRIER FedEx"
11835,"SO MIG101436","ORDER SALES MIG101436","FedEx","CARRIER FedEx"
11836,"SO MIG101437","ORDER SALES MIG101437","FedEx","CARRIER FedEx"
11837,"SO MIG101438","ORDER SALES MIG101438","FedEx","CARRIER FedEx"
11838,"SO MIG101439","ORDER SALES MIG101439","FedEx","CARRIER FedEx"
11839,"SO MIG101440","ORDER SALES MIG101440","FedEx","CARRIER FedEx"
11840,"SO MIG101441","ORDER SALES MIG101441","FedEx","CARRIER FedEx"
11841,"SO MIG101442","ORDER SALES MIG101442","FedEx","CARRIER FedEx"
11842,"SO MIG101443","ORDER SALES MIG101443","FedEx","CARRIER FedEx"
11843,"SO MIG101444","ORDER SALES MIG101444","FedEx","CARRIER FedEx"
11844,"SO MIG101445","ORDER SALES MIG101445","FedEx","CARRIER FedEx"
11845,"SO MIG101446","ORDER SALES MIG101446","FedEx","CARRIER FedEx"
11846,"SO MIG101447","ORDER SALES MIG101447","FedEx","CARRIER FedEx"
11847,"SO MIG101448","ORDER SALES MIG101448","FedEx","CARRIER FedEx"
11848,"SO MIG101449","ORDER SALES MIG101449","FedEx","CARRIER FedEx"
11849,"SO MIG101450","ORDER SALES MIG101450","FedEx","CARRIER FedEx"
11850,"SO MIG101451","ORDER SALES MIG101451","FedEx","CARRIER FedEx"
11851,"SO MIG101452","ORDER SALES MIG101452","FedEx","CARRIER FedEx"
11852,"SO MIG101453","ORDER SALES MIG101453","FedEx","CARRIER FedEx"
11853,"SO MIG101454","ORDER SALES MIG101454","FedEx","CARRIER FedEx"
11854,"SO MIG101455","ORDER SALES MIG101455","FedEx","CARRIER FedEx"
11855,"SO MIG101456","ORDER SALES MIG101456","FedEx","CARRIER FedEx"
11856,"SO MIG101457","ORDER SALES MIG101457","FedEx","CARRIER FedEx"
11857,"SO MIG101458","ORDER SALES MIG101458","FedEx","CARRIER FedEx"
11858,"SO MIG101459","ORDER SALES MIG101459","FedEx","CARRIER FedEx"
11859,"SO MIG101460","ORDER SALES MIG101460","FedEx","CARRIER FedEx"
11860,"SO MIG101461","ORDER SALES MIG101461","FedEx","CARRIER FedEx"
11861,"SO MIG101462","ORDER SALES MIG101462","FedEx","CARRIER FedEx"
11862,"SO MIG101463","ORDER SALES MIG101463","FedEx","CARRIER FedEx"
11863,"SO MIG101464","ORDER SALES MIG101464","FedEx","CARRIER FedEx"
11864,"SO MIG101465","ORDER SALES MIG101465","FedEx","CARRIER FedEx"
11865,"SO MIG101466","ORDER SALES MIG101466","FedEx","CARRIER FedEx"
11866,"SO MIG101467","ORDER SALES MIG101467","FedEx","CARRIER FedEx"
11867,"SO MIG101468","ORDER SALES MIG101468","FedEx","CARRIER FedEx"
11868,"SO MIG101469","ORDER SALES MIG101469","FedEx","CARRIER FedEx"
11869,"SO MIG101470","ORDER SALES MIG101470","FedEx","CARRIER FedEx"
11870,"SO MIG101471","ORDER SALES MIG101471","FedEx","CARRIER FedEx"
11871,"SO MIG101472","ORDER SALES MIG101472","FedEx","CARRIER FedEx"
11872,"SO MIG101473","ORDER SALES MIG101473","FedEx","CARRIER FedEx"
11873,"SO MIG101474","ORDER SALES MIG101474","FedEx","CARRIER FedEx"
11874,"SO MIG101475","ORDER SALES MIG101475","FedEx","CARRIER FedEx"
11875,"SO MIG101476","ORDER SALES MIG101476","FedEx","CARRIER FedEx"
11876,"SO MIG101477","ORDER SALES MIG101477","FedEx","CARRIER FedEx"
11877,"SO MIG101478","ORDER SALES MIG101478","FedEx","CARRIER FedEx"
11878,"SO MIG101479","ORDER SALES MIG101479","FedEx","CARRIER FedEx"
11879,"SO MIG101480","ORDER SALES MIG101480","FedEx","CARRIER FedEx"
11880,"SO MIG101481","ORDER SALES MIG101481","FedEx","CARRIER FedEx"
11881,"SO MIG101482","ORDER SALES MIG101482","FedEx","CARRIER FedEx"
11882,"SO MIG101483","ORDER SALES MIG101483","FedEx","CARRIER FedEx"
11883,"SO MIG101484","ORDER SALES MIG101484","FedEx","CARRIER FedEx"
11884,"SO MIG101485","ORDER SALES MIG101485","FedEx","CARRIER FedEx"
11885,"SO MIG101486","ORDER SALES MIG101486","FedEx","CARRIER FedEx"
11886,"SO MIG101487","ORDER SALES MIG101487","FedEx","CARRIER FedEx"
11887,"SO MIG101488","ORDER SALES MIG101488","FedEx","CARRIER FedEx"
11888,"SO MIG101489","ORDER SALES MIG101489","FedEx","CARRIER FedEx"
11889,"SO MIG101490","ORDER SALES MIG101490","FedEx","CARRIER FedEx"
11890,"SO MIG101491","ORDER SALES MIG101491","FedEx","CARRIER FedEx"
11891,"SO MIG101492","ORDER SALES MIG101492","FedEx","CARRIER FedEx"
11892,"SO MIG101493","ORDER SALES MIG101493","FedEx","CARRIER FedEx"
11893,"SO MIG101494","ORDER SALES MIG101494","FedEx","CARRIER FedEx"
11894,"SO MIG101495","ORDER SALES MIG101495","FedEx","CARRIER FedEx"
11895,"SO MIG101496","ORDER SALES MIG101496","FedEx","CARRIER FedEx"
11896,"SO MIG101497","ORDER SALES MIG101497","FedEx","CARRIER FedEx"
11897,"SO MIG101498","ORDER SALES MIG101498","FedEx","CARRIER FedEx"
11898,"SO MIG101499","ORDER SALES MIG101499","FedEx","CARRIER FedEx"
11899,"SO MIG101500","ORDER SALES MIG101500","FedEx","CARRIER FedEx"
11900,"SO MIG101501","ORDER SALES MIG101501","FedEx","CARRIER FedEx"
11901,"SO MIG101502","ORDER SALES MIG101502","FedEx","CARRIER FedEx"
11902,"SO MIG101503","ORDER SALES MIG101503","FedEx","CARRIER FedEx"
11903,"SO MIG101504","ORDER SALES MIG101504","FedEx","CARRIER FedEx"
11904,"SO MIG101505","ORDER SALES MIG101505","FedEx","CARRIER FedEx"
11905,"SO MIG101506","ORDER SALES MIG101506","FedEx","CARRIER FedEx"
11906,"SO MIG101507","ORDER SALES MIG101507","FedEx","CARRIER FedEx"
11907,"SO MIG101508","ORDER SALES MIG101508","FedEx","CARRIER FedEx"
11908,"SO MIG101509","ORDER SALES MIG101509","FedEx","CARRIER FedEx"
11909,"SO MIG101510","ORDER SALES MIG101510","FedEx","CARRIER FedEx"
11910,"SO MIG101511","ORDER SALES MIG101511","FedEx","CARRIER FedEx"
11911,"SO MIG101512","ORDER SALES MIG101512","FedEx","CARRIER FedEx"
11912,"SO MIG101513","ORDER SALES MIG101513","FedEx","CARRIER FedEx"
11913,"SO MIG101514","ORDER SALES MIG101514","FedEx","CARRIER FedEx"
11914,"SO MIG101515","ORDER SALES MIG101515","FedEx","CARRIER FedEx"
11915,"SO MIG101516","ORDER SALES MIG101516","FedEx","CARRIER FedEx"
11916,"SO MIG101517","ORDER SALES MIG101517","FedEx","CARRIER FedEx"
11917,"SO MIG101518","ORDER SALES MIG101518","FedEx","CARRIER FedEx"
11918,"SO MIG101519","ORDER SALES MIG101519","FedEx","CARRIER FedEx"
11919,"SO MIG101520","ORDER SALES MIG101520","FedEx","CARRIER FedEx"
11920,"SO MIG101521","ORDER SALES MIG101521","FedEx","CARRIER FedEx"
11921,"SO MIG101522","ORDER SALES MIG101522","FedEx","CARRIER FedEx"
11922,"SO MIG101523","ORDER SALES MIG101523","FedEx","CARRIER FedEx"
11923,"SO MIG101524","ORDER SALES MIG101524","FedEx","CARRIER FedEx"
11924,"SO MIG101525","ORDER SALES MIG101525","FedEx","CARRIER FedEx"
11925,"SO MIG101526","ORDER SALES MIG101526","FedEx","CARRIER FedEx"
11926,"SO MIG101527","ORDER SALES MIG101527","FedEx","CARRIER FedEx"
11927,"SO MIG101528","ORDER SALES MIG101528","FedEx","CARRIER FedEx"
